STT,MSSV,TEN,LOP,DIEM GIUA KI,DIEM CUOI KI,DIEM KHAC,TONG KET
1,20150003,Bui  Tai,20SHH1,7,10,4,8.5
2,20150004,Co To Lam ,20SHH1,4,4,9,4.5
3,20150005,Khuyet Thinh,20SHH1,9,7,5,7.4
4,20150006,Thong Tai,20SHH1,6,10,6,8.4
5,20150007,Van Nam Giang Thi,20SHH1,8,10,6,9
6,20150008,Hao A Sinh,20SHH1,5,4,10,4.9
7,20150009,Huynh Ngoc Tram,20SHH1,10,9,10,9.4
8,20150010,Le Minh ,20SHH1,7,8,5,7.4
9,20150011,Le  Hoang Quan,20SHH1,7,9,8,8.3
10,20150012,Le Uyen Nhi,20SHH1,6,7,10,7
11,20150013,Mai Thanh Binh,20SHH1,6,4,8,5
12,20150014,Ghe Gom,20SHH1,5,5,10,5.5
13,20150015,Ngun Minh Duy,20SHH1,9,4,10,6.1
14,20150016,Nguyen Nung,20SHH1,4,6,7,5.5
15,20150017,Nguyen Tai,20SHH1,9,9,4,8.5
16,20150018, Kim Nhung,20SHH1,10,6,5,7.1
17,20150019, Thuy Trang,20SHH1,7,7,6,6.9
18,20150020,Tien Minh,20SHH1,6,5,10,5.8
19,20150021,Nguyen Tai,20SHH1,5,5,4,4.9
20,20150022,Nguyen Tung,20SHH1,9,7,8,7.7
21,20150023,Trinh Ngoc Thanh,20SHH1,6,8,4,7
22,20150024,Thien Tan,20SHH1,5,8,4,6.7
23,20150025,Truong Khoa,20SHH1,4,10,10,8.2
24,20150026,Lop Thanh,20SHH1,6,5,4,5.2
25,20150027,Duc Dao,20SHH1,9,4,8,5.9
26,20150028, Quang Huy,20SHH1,4,6,4,5.2
27,20150029, Thien Hao,20SHH1,7,6,9,6.6
28,20150030,Tuan Kiet,20SHH1,10,10,4,9.4
29,20150031,Truong  Trong Quoc,20SHH1,10,4,4,5.8
30,20150032,Vo Hoa,20SHH1,6,6,5,5.9
31,20110001,Tam Hoan,20TTH1,8,9,7,8.5
32,20110002,Hoang Kieu Huy,20TTH1,10,8,7,8.5
33,20110003,Cao Thanh Huy,20TTH1,6,9,9,8.1
34,20110004,Nguyen Linh,20TTH1,7,4,5,5
35,20110005,Huynh Thuy Mi,20TTH1,9,8,6,8.1
36,20110006,Phan  My,20TTH1,9,5,6,6.3
37,20110007, Tu Nhi,20TTH1,9,7,6,7.5
38,20110008,Th?ch Gia Quyen,20TTH1,6,9,5,7.7
39,20110009, Han Ry,20TTH1,9,10,10,9.7
40,20110010,Nguy?n Le Anh Th?,20TTH1,10,8,9,8.7
41,20110011,Thuy Tram,20TTH1,9,8,5,8
42,20110012,Trinh Quoc Cuong,20TTH1,8,7,10,7.6
43,20110013, Cao Anh Tu,20TTH1,6,4,6,4.8
