No,ID,Name,Birth,Sex,Idsocial
1,21170001,Thien Nhan,28/07/2003,Nam,3448721
2,21170002,Ha Nhan,14/09/2003,Nu ,1575595
3,21170003,Nga Tai,31/03/2003,Nam,5442340
4,21170004,Ton Thu,04/12/2003,Nam,9488543
5,21170005,Thanh Nhan,27/01/2003,Nam,1259558
6,21170006,Ton Linh,07/07/2003,Nu ,4707212
7,21170007,Nguyen Khang,02/01/2003,Nam,8356576
8,21170008,Khanh Dien,20/09/2003,Nam,2289427
9,21170009,Tau Ran,14/04/2003,Nam,9032890
10,21170010,Thien Nguyen,12/09/2003,Nu ,1242392
11,21170011,Thong Sanh,03/01/2003,Nam,4320507
12,21170012,Sinh Nhut,17/05/2003,Nam,9971980
13,21170013,Khang Khang,09/05/2003,Nam,7170643
14,21170014,Huy ha,15/10/2003,Nu ,6052401
15,21170015,Hung Phuc,05/09/2003,Nam,6720243
16,21170016,le Cao,18/05/2003,Nam,2373036
17,21170017,Le Hoang,27/09/2003,Nam,5708661
18,21170018,Ling Trong,27/12/2003,Nu ,9800289
19,21170019,Sa Thi Man,18/01/2003,Nam,3541151
20,21170020,Xuat Son,12/02/2003,Nam,2831333
21,21170021,But Linh,29/11/2003,Nam,3506861
22,21170022,Quy Khu,14/09/2003,Nu ,1875228
23,21170023,Khap Huyet,02/05/2003,Nam,9593298
24,21170024,Van May,24/06/2003,Nam,9904386
25,21170025,Ta Truc,24/03/2003,Nam,1380010
26,21170026,Han Thien,23/05/2003,Nu ,3696934
27,21170027,Sa Tuoc,29/12/2003,Nam,6888558
28,21170028,Khiem Phuc,25/07/2003,Nam,9112563
29,21170029,Khoi Thu,18/02/2003,Nam,7263460
30,21170030,Van Da,01/07/2003,Nu ,8173786
