No,ID,Name,Birth,Sex,Idsocial
1,20110001,Tam Hoan,03/11/2002,Nam ,3502335
2,20110002,Hoang Kieu Huy,21/11/2002,Nam ,1791793
3,20110003,Cao Thanh Huy,14/11/2002,Nu,3779848
4,20110004,Nguyen Linh,25/12/2002,Nam ,9412817
5,20110005,Huynh Thuy Mi,11/11/2002,Nu,6260856
6,20110006,Phan  My,16/12/2002,Nam ,8429424
7,20110007, Tu Nhi,25/11/2002,Nam ,1577186
8,20110008,Th?ch Gia Quyen,09/11/2002,Nu,7853018
9,20110009, Han Ry,10/12/2002,Nam ,4279587
10,20110010,Nguy?n Le Anh Th?,03/11/2002,Nu,7403238
11,20110011,Thuy Tram,28/11/2002,Nam ,9606896
12,20110012,Trinh Quoc Cuong,09/12/2002,Nam ,6071461
13,20110013, Cao Anh Tu,15/12/2002,Nu,8918506
14,20110014,Phuong Uyen,06/12/2002,Nam ,6991680
15,20110015,Linh An,23/12/2002,Nu,3214474
16,20110016,Thuy Dung,01/11/2002,Nam ,6359534
17,20110017,Tung Bach,22/12/2002,Nam ,3650032
18,20110018,Le Minh Thu,29/11/2002,Nu,9112890
19,20110019,Nguye Thieu ,13/12/2002,Nam ,6417863
20,20110020,Le Minh Hung,10/11/2002,Nu,8978329
21,20110021,Le Trong Hung,08/11/2002,Nam ,2674350
22,20110022,Tuong Vy,01/12/2002,Nam ,4161326
23,20110023,Nguyen Linh,08/12/2002,Nu,1022802
24,20110024,Phung Minh Kha,02/12/2002,Nam ,1655020
25,20110025, Hoang Long,08/11/2002,Nu,8227944
26,20110026, Hoai Khanh Ly,03/12/2002,Nam ,9792561
27,20110027,Hoang My,20/12/2002,Nam ,9612049
28,20110028,Ky Nam,05/12/2002,Nu,1203875
29,20110029,Vo Thuy ,27/12/2002,Nam ,4404699
30,20110030,Thuy Nhien,14/12/2002,Nu,5298355
