No,ID,Name,Birth,Sex,IDSocial
1,23120031,Nguyen Tien Dat,27/11/2005,Nam,5436315
2,23120032,Tran Nguyen Thanh Dat,14/02/2005,Nam,6583531
3,23120033,Tran Nguyen Minh Dong,29/03/2005,Nu,7892886
4,23120034,Ho Thi Kim Dung,14/01/2005,Nam,4200589
5,23120035,Le Thi Thuy Duong,15/01/2005,Nam,1880769
6,23120036,Mai Quoc Duy,06/01/2005,Nu,7128167
7,23120037,Nguyen Thi Hong Gam,20/04/2005,Nam,7609730
8,23120038,Nguyen Quynh Giang,25/03/2005,Nam,4662208
9,23120039,Nguyen Thi Thu Ha,09/11/2005,Nu,8649955
10,23120040,Tran My Han,21/11/2005,Nam,4240891
11,23120041,Le Ngoc Thanh Hien,01/07/2005,Nam,6325659
12,23120042,Le Viet Hien,10/03/2005,Nu,2897949
13,23120043,Vo Minh Hieu,07/11/2005,Nam,5000730
14,23120044,Phan My Hue,21/11/2005,Nam,1665888
15,23120045,Nguyen Thi Kim Huong,22/12/2005,Nu,3058472
16,23120046,Nguyen Le Hoang Huy,01/12/2005,Nam,6868950
17,23120047,Tang Giac Huy,10/10/2005,Nam,5794959
18,23120048,Dao Thi Huyen,26/05/2005,Nu,2694830
19,23120049,Huynh Tan Thanh Kha,01/04/2005,Nam,3310983
20,23120050,Tran Van Khai,25/02/2005,Nam,3561838
21,23120051,Truong Vi Khang,29/08/2005,Nu,3796985
22,23120052,Dang Dang Khoa,07/10/2005,Nam,5539753
23,23120053,Nguyen Tran Nhac Khoa,28/08/2005,Nam,3300942
24,23120054,Ho Le Minh Khue,10/09/2005,Nu,6412820
25,23120055,Pham Thi Thuy Kieu,11/06/2005,Nam,4706005
26,23120056,Pham Tran Thien Kim,19/10/2005,Nam,3878874
27,23120057,Le Vinh Lam,20/07/2005,Nu,6731505
28,23120058,Nguy Ngoc Hoang Lan,25/02/2005,Nam,1749892
29,23120059,Dang Thi Yen Linh,25/12/2005,Nam,6837692
30,23120060,Nguyen Doan Nhu Linh,19/03/2005,Nu,4504613
