No,ID,Name,Birth,Sex,Idsocial
1,21120033,A Thai,17/10/2003,Nam,7119511
2,21120034,Cao Hung,13/5/2003,Nam,6672022
3,21120035,Cao Thai,6/2/2003,Nam,1911510
4,21120036,Cortana,3/12/2003,Nu,7429264
5,21120037,Co Vo ,14/3/2003,Nam,9528939
6,21120038,Truong A,14/7/2003,Nam,3764660
7,21120039,Eo Thi Xa,15/11/2003,Nu,5831398
8,21120040,Hua Vo Thien,21/9/2003,Nam,4926784
9,21120041,Han Lap,15/3/2003,Nam,5544095
10,21120042,Huy Hoang,1/10/2003,Nam,3067031
11,21120043,Ghe Sa,13/3/2003,Nam,8755075
12,21120044,Khuong An An,28/7/2003,Nu,8662249
13,21120045,Khuong Vong,4/4/2003,Nam,3699330
14,21120046,Lam Bao Ngoc,6/3/2003,Nu,8803894
15,21120047,Lam Van Thien,4/6/2003,Nam,9582497
16,21120048,Long Tuoc,5/7/2003,Nam,5851633
17,21120049,Luc Tram,6/10/2003,Nam,4458620
18,21120050,Mieu A Cau,29/5/2003,Nam,9631535
19,21120051,Nga Tam,4/6/2003,Nam,9109761
20,21120052,Ngo Th?a An,26/5/2003,Nam,8269666
21,21120053,Nguyen Hoa,23/1/2003,Nam,1698300
22,21120054,Nguyen Thi A,7/4/2003,Nam,7425584
23,21120055,Thien Sinh,16/6/2003,Nam,5664489
24,21120056,Tran Binh An,14/3/2003,Nam,8397800
25,21120057,Tran Vong Tinh,30/12/2003,Nu,6530776
26,21120058,Truong Tieu Pham,21/12/2003,Nam,4748439
27,21120059,Vuong Chi Hao,5/5/2003,Nam,8745937
28,21120060,Vuong Thong Thien,25/12/2003,Nu,9371947
29,21120061,Vuong Vong Thien,15/6/2003,Nam,1083112
30,21120062,Vuong Trieu,5/9/2003,Nam,5755513
